"Regulating Agency","County Served","PWS","PWS Name","Facility ID","Facility Name","Sample Date","Received Date","Analyte Abbreviation","Analyte Name","Result (ng/L)","MRL (ng/L)","Sample ID"
"SHERMAN COUNTY","Sherman","00935","WASCO, CITY OF","EP-B","EP FOR WELL #2","01/18/2022","02/25/2022","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","10.3","2201102-01"
"SHERMAN COUNTY","Sherman","00935","WASCO, CITY OF","EP-B","EP FOR WELL #2","01/18/2022","02/25/2022","PFHpA","Perfluoroheptanoic acid","ND","10.3","2201102-01"
"SHERMAN COUNTY","Sherman","00935","WASCO, CITY OF","EP-B","EP FOR WELL #2","01/18/2022","02/25/2022","PFHpS","Perfluoroheptanesulfonic acid","ND","10.3","2201102-01"
"SHERMAN COUNTY","Sherman","00935","WASCO, CITY OF","EP-B","EP FOR WELL #2","01/18/2022","02/25/2022","PFHxA","Perfluorohexanoic acid","ND","10.3","2201102-01"
"SHERMAN COUNTY","Sherman","00935","WASCO, CITY OF","EP-B","EP FOR WELL #2","01/18/2022","02/25/2022","PFHxS","Perfluorohexanesulfonic acid","ND","10.3","2201102-01"
"SHERMAN COUNTY","Sherman","00935","WASCO, CITY OF","EP-B","EP FOR WELL #2","01/18/2022","02/25/2022","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","20.7","2201102-01"
"SHERMAN COUNTY","Sherman","00935","WASCO, CITY OF","EP-B","EP FOR WELL #2","01/18/2022","02/25/2022","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","41.4","2201102-01"
"SHERMAN COUNTY","Sherman","00935","WASCO, CITY OF","EP-B","EP FOR WELL #2","01/18/2022","02/25/2022","PFNA","Perfluorononanoic acid","ND","10.3","2201102-01"
"SHERMAN COUNTY","Sherman","00935","WASCO, CITY OF","EP-B","EP FOR WELL #2","01/18/2022","02/25/2022","PFOA","Perfluorooctanoic acid","ND","10.3","2201102-01"
"SHERMAN COUNTY","Sherman","00935","WASCO, CITY OF","EP-B","EP FOR WELL #2","01/18/2022","02/25/2022","PFOS","Perfluorooctanesulfonic acid","ND","10.3","2201102-01"
"SHERMAN COUNTY","Sherman","00935","WASCO, CITY OF","EP-B","EP FOR WELL #2","01/18/2022","02/25/2022","PFPeA","Perfluoropentanoic acid","ND","103","2201102-01"
"SHERMAN COUNTY","Sherman","00935","WASCO, CITY OF","EP-B","EP FOR WELL #2","01/18/2022","02/25/2022","PFPeS","Perfluoropentanesulfonic acid","ND","10.3","2201102-01"
"SHERMAN COUNTY","Sherman","00935","WASCO, CITY OF","EP-B","EP FOR WELL #2","01/18/2022","02/25/2022","PFUnA","Perfluoroundecanoic acid","ND","10.3","2201102-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","10.1","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","10.1","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","10.1","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","10.1","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","10.1","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","10.1","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","101","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","PFBA","Perfluorobutanoic acid","ND","10.1","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","PFBS","Perfluorobutanesulfonic acid","ND","40.4","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","PFDA","Perfluorodecanoic acid","ND","10.1","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","PFDoA","Perfluorododecanoic acid","ND","10.1","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","10.1","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","PFHpA","Perfluoroheptanoic acid","ND","10.1","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","PFHpS","Perfluoroheptanesulfonic acid","ND","10.1","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","PFHxA","Perfluorohexanoic acid","ND","10.1","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","PFHxS","Perfluorohexanesulfonic acid","ND","10.1","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","20.2","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","40.4","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","PFNA","Perfluorononanoic acid","ND","10.1","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","PFOA","Perfluorooctanoic acid","ND","10.1","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","PFOS","Perfluorooctanesulfonic acid","ND","10.1","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","PFPeA","Perfluoropentanoic acid","ND","101","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","PFPeS","Perfluoropentanesulfonic acid","ND","10.1","2201066-01"
"REGION 2","Benton","00003","ADAIR VILLAGE WATER SYSTEM","EP-A","EP FOR WILLAMETTE RIVER","01/12/2022","02/18/2022","PFUnA","Perfluoroundecanoic acid","ND","10.1","2201066-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","10.5","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","10.5","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","10.5","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","10.5","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","10.5","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","10.5","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","105","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","PFBA","Perfluorobutanoic acid","ND","10.5","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","PFBS","Perfluorobutanesulfonic acid","ND","41.8","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","PFDA","Perfluorodecanoic acid","ND","10.5","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","PFDoA","Perfluorododecanoic acid","ND","10.5","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","10.5","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","PFHpA","Perfluoroheptanoic acid","ND","10.5","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","PFHpS","Perfluoroheptanesulfonic acid","ND","10.5","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","PFHxA","Perfluorohexanoic acid","ND","10.5","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","PFHxS","Perfluorohexanesulfonic acid","ND","10.5","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","20.9","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","41.8","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","PFNA","Perfluorononanoic acid","ND","10.5","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","PFOA","Perfluorooctanoic acid","ND","10.5","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","PFOS","Perfluorooctanesulfonic acid","ND","10.5","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","PFPeA","Perfluoropentanoic acid","ND","105","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","PFPeS","Perfluoropentanesulfonic acid","ND","10.5","2201064-01"
"REGION 1","Yamhill","00041","AMITY, CITY OF","EP-D","EP FOR SOUTH YAMHILL RIVER","01/12/2022","02/18/2022","PFUnA","Perfluoroundecanoic acid","ND","10.5","2201064-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","10.1","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","10.1","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","10.1","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","10.1","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","10.1","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","10.1","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","101","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","PFBA","Perfluorobutanoic acid","ND","10.1","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","PFBS","Perfluorobutanesulfonic acid","ND","40.4","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","PFDA","Perfluorodecanoic acid","ND","10.1","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","PFDoA","Perfluorododecanoic acid","ND","10.1","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","10.1","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","PFHpA","Perfluoroheptanoic acid","ND","10.1","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","PFHpS","Perfluoroheptanesulfonic acid","ND","10.1","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","PFHxA","Perfluorohexanoic acid","ND","10.1","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","PFHxS","Perfluorohexanesulfonic acid","ND","10.1","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","20.2","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","40.4","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","PFNA","Perfluorononanoic acid","ND","10.1","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","PFOA","Perfluorooctanoic acid","ND","10.1","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","PFOS","Perfluorooctanesulfonic acid","ND","10.1","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","PFPeA","Perfluoropentanoic acid","ND","101","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","PFPeS","Perfluoropentanesulfonic acid","ND","10.1","2201067-01"
"REGION 2","Jackson","00333","GOLD HILL, CITY OF","EP-A","EP FOR ROGUE RIVER","01/12/2022","02/18/2022","PFUnA","Perfluoroundecanoic acid","ND","10.1","2201067-01"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","10.1","2201065-01RE1"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","10.1","2201065-01RE1"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","10.1","2201065-01RE1"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","10.1","2201065-01RE1"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","10.1","2201065-01RE1"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","10.1","2201065-01RE1"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","101","2201065-01RE1"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","PFBA","Perfluorobutanoic acid","ND","10.1","2201065-01"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","PFBS","Perfluorobutanesulfonic acid","ND","40.5","2201065-01RE1"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","PFDA","Perfluorodecanoic acid","ND","10.1","2201065-01RE1"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","PFDoA","Perfluorododecanoic acid","ND","10.1","2201065-01RE1"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","10.1","2201065-01RE1"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","PFHpA","Perfluoroheptanoic acid","ND","10.1","2201065-01RE1"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","PFHpS","Perfluoroheptanesulfonic acid","ND","10.1","2201065-01RE1"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","PFHxA","Perfluorohexanoic acid","ND","10.1","2201065-01RE1"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","PFHxS","Perfluorohexanesulfonic acid","ND","10.1","2201065-01RE1"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","20.2","2201065-01"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","40.5","2201065-01"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","PFNA","Perfluorononanoic acid","ND","10.1","2201065-01RE1"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","PFOA","Perfluorooctanoic acid","ND","10.1","2201065-01RE1"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","PFOS","Perfluorooctanesulfonic acid","ND","10.1","2201065-01RE1"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","PFPeA","Perfluoropentanoic acid","ND","101","2201065-01"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","PFPeS","Perfluoropentanesulfonic acid","ND","10.1","2201065-01RE1"
"REGION 1","Marion","00408","JEFFERSON, CITY OF","EP-A","EP FOR SANTIAM RIVER","01/12/2022","02/18/2022","PFUnA","Perfluoroundecanoic acid","ND","10.1","2201065-01RE1"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","11Cl-PF3OUdS","11-Chloroeicosafluoro-3-oxaundecane-1-sulfonic acid","ND","11.4","2201062-01"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","4:2FTS","1H,1H, 2H, 2H-Perfluorohexane sulfonic acid","ND","11.4","2201062-01"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","6:2FTS","1H,1H, 2H, 2H-Perfluorooctane sulfonic acid","ND","11.4","2201062-01"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","8:2FTS","1H,1H, 2H, 2H-Perfluorodecane sulfonic acid","ND","11.4","2201062-01"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","9Cl-PF3ONS","9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acd","ND","11.4","2201062-01"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","ADONA","4,8-Dioxa-3H-perfluorononanoic acid","ND","11.4","2201062-01"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","HFPO-DA","Hexafluoropropylene oxide dimer acid","ND","114","2201062-01"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","PFBA","Perfluorobutanoic acid","ND","11.4","2201062-01"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","PFBS","Perfluorobutanesulfonic acid","ND","45.6","2201062-01"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","PFDA","Perfluorodecanoic acid","ND","11.4","2201062-01"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","PFDoA","Perfluorododecanoic acid","ND","11.4","2201062-01"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","PFEESA","Perfluoro(2-ethoxyethane)sulfonic acid","ND","11.4","2201062-01"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","PFHpA","Perfluoroheptanoic acid","ND","11.4","2201062-01"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","PFHpS","Perfluoroheptanesulfonic acid","ND","11.4","2201062-01"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","PFHxA","Perfluorohexanoic acid","ND","11.4","2201062-01"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","PFHxS","Perfluorohexanesulfonic acid","ND","11.4","2201062-01"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","PFMBA","Perfluoro-4-methoxybutanoic acid","ND","22.8","2201062-01"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","PFMPA","Perfluoro-3-methoxypropanoic acid","ND","45.6","2201062-01"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","PFNA","Perfluorononanoic acid","ND","11.4","2201062-01"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","PFOA","Perfluorooctanoic acid","ND","11.4","2201062-01"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","PFOS","Perfluorooctanesulfonic acid","ND","11.4","2201062-01"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","PFPeA","Perfluoropentanoic acid","ND","114","2201062-01"
"REGION 1","Columbia","00689","CITY OF RAINIER","EP-A","EP FOR COLUMBIA RIVER","01/11/2022","02/18/2022","PFPeS","Perfluoropentanesulfonic acid","ND","11.4","2201062-01"
